price,location
"C$729,000","960 Tremaine Ave S, North Perth, ON N4W 3G9"
"C$450,000","20 Jennet St, Fort Erie, ON L2A 4B9"
"C$399,900","3245 County Road 32, Leeds And The Thousand Islands, ON K0H 2N0"
"C$999,900","9 Fire Route 265 Rte #265, Trent Lakes, ON K0L 1J0"
"C$560,000","1560 County Road 22, Lakeshore, ON N0R 1A0"
"C$1,550,000","412 Guelph Ave, Cambridge, ON N3C 1A9"
"C$569,900","46 Wellington St, Saint Catharines, ON L2R 5R1"
"C$675,000","270 Broadway St, Tillsonburg, ON N4G 3R7"
"C$999,000","621 Woodlawn Pl, Waterloo, ON N2T 0A1"
"C$499,900","225 Dufferin St, Minto, ON N0G 2P0"
"C$579,900","57 York St, Aylmer, ON N5H 2G8"
"C$675,000","4571 Rokeby Line, Enniskillen, ON N0N 1R0"
"C$1,000,000","12 Patricia Ave, Cambridge, ON N1R 1E3"
"C$899,900","43070 Gentry Ln, Central Elgin, ON N5L 1J1"
"C$749,900","1014 Mount Street Louis Rd E, Oro Medonte, ON L0K 1E0"
"C$599,900","105 Anderson Ave, Southwest Middlesex, ON N0L 1M0"
"C$725,000","6398 Montrose Rd, Niagara Falls, ON L2H 1L9"
"C$650,000","197 Sunset Blvd, Cambridge, ON N1S 4L1"
"C$529,900","24 Barker St, London, ON N5Y 1X6"
"C$579,000","356 Red Cedar Point Rd, Stone Mills, ON K0K 3N0"
"C$850,000","4 Acres St, Brant, ON N3L 2E9"
"C$8,988,800","5563 Cedar Springs Rd, Burlington, ON L7P 0C2"
"C$579,900","2 Simcoe St, Norfolk County, ON N4B 1A7"
"C$424,900","41 Alice St, Montague, ON K7A 2W4"
"C$579,900","35 Bute St #205, North Dumfries, ON N0B 1E0"
"C$1,099,999","4813 Hickory Cres, Saint Clair, ON N0P 2B0"
"C$699,000","78 Mountainview Rd, Nipissing, ON P0H 1Z0"
"C$1,049,000","351 Durham St N, Cramahe, ON K0K 1S0"
"C$499,900","441 Davis Dr, Kingston, ON K7M 8L9"
"C$775,000","193 Concession St, Cambridge, ON N1R 2J1"
"C$549,000","48 Barrington Dr, Welland, ON L3C 5Z9"
"C$469,900","152 Mount Pleasant Cres, Chatham Kent, ON N8A 5A6"
"C$599,999","568 Guelph St, Kitchener, ON N2H 5Y4"
"C$725,000","280 Rosewood Ave, Fort Erie, ON L0S 1N0"
"C$844,900","1020 Ewart St, Innisfil, ON L0L 1C0"
"C$1,250,000","1023 15th Line N, Oro Medonte, ON L3V 8J1"
"C$900,000","204 Willowdale Ave, Waterloo, ON N2J 3M1"
"C$499,000","19 Frink Ave, Loyalist, ON K7N 1P3"
"C$749,900","6828 Barbara St, Lambton Shores, ON N0N 1J3"
"C$599,900","74 Bond St, Cambridge, ON N1R 4B6"
